Client Name,Urgency,Registration Page,Redirect Root,Redirect Slug
Skyvera,Redirect,http://skyvera.rallypointwebinars.technology/local/rallypoint/webinar.php?id=174,rpw.adobeconnect.com/,skyveraq42017vuc
Software AG,Redirect,http://softwareag.rallypointwebinars.technology/local/rallypoint/webinar.php?id=107,rpw.adobeconnect.com/,softwareag12082016
Software AG,Redirect,http://softwareag.rallypointwebinars.technology/local/rallypoint/webinar.php?id=106,rpw.adobeconnect.com/,sag-vea11152016
Software AG,Redirect,http://softwareag.rallypointwebinars.technology/local/rallypoint/webinar.php?id=102,rpw.adobeconnect.com/,sag-vea11032016
Software AG,Redirect,http://softwareag.rallypointwebinars.technology/local/rallypoint/webinar.php?id=50,rpw.adobeconnect.com/,sag_aris06232016
Software AG,Redirect,http://softwareag.rallypointwebinars.technology/local/rallypoint/webinar.php?id=43,rpw.adobeconnect.com/,softwareag05242016
Software AG,Redirect,http://softwareag.rallypointwebinars.technology/local/rallypoint/webinar.php?id=49,rpw.adobeconnect.com/,softwareag05122016
Software AG,Redirect,http://softwareag.rallypointwebinars.technology/local/rallypoint/webinar.php?id=36,rpw.adobeconnect.com/,sag04282016
Software AG,Redirect,http://softwareag.rallypointwebinars.technology/local/rallypoint/webinar.php?id=37,rpw.adobeconnect.com/,sag04262016
Software AG Events,Redirect,http://softwareagevents.rallypointwebinars.technology/local/rallypoint/webinar.php?id=99,rpw.adobeconnect.com/,softwareag10202016
Software AG Events,Redirect,http://softwareagevents.rallypointwebinars.technology/local/rallypoint/webinar.php?id=76,rpw.adobeconnect.com/,sag-servicemax08172016
Software AG Events,Redirect,http://softwareagevents.rallypointwebinars.technology/local/rallypoint/webinar.php?id=67,rpw.adobeconnect.com/,apics-sag07272016
Tenrox,Redirect,http://tenrox.rallypointwebinars.technology/local/rallypoint/webinar.php?id=78,rpw.adobeconnect.com/,tenrox09222016
Ultriva,Redirect,http://ultriva.rallypointwebinars.technology/local/rallypoint/webinar.php?id=92,rpw.adobeconnect.com/,ultriva10122016
Wunderman,Immediate,http://wunderman.rallypointwebinars.technology/local/rallypoint/webinar.php?id=192,rpw.adobeconnect.com/,recording-wundermanhealth021518
Wunderman,Immediate,http://wunderman.rallypointwebinars.technology/local/rallypoint/webinar.php?id=164,rpw.adobeconnect.com/,wundermankantar092017
Wunderman,Immediate,http://wunderman.rallypointwebinars.technology/local/rallypoint/webinar.php?id=111,rpw.adobeconnect.com/,wunderman01192017
